id,titulo,autor,precio,idEditorial
1,Dinner at Eight,Julianna Lineen,6229,2
2,Suddenly Last Summer,Barbabra Darkott,5494,4
3,Rally On,Abby Gingold,7322,1
4,Chuck & Buck,Nancie Szepe,6956,2
5,Blue Swallow,Ernesto Simonassi,5654,3
6,Noroi: The Curse ,Giustina Kendrew,927,1
7,Hellfighters,Lin Mirralls,9658,2
8,High Roller: The Stu Ungar Story,Sheffie Allsup,9052,4
9,Star Trek III: The Search for Spock,Sanson Adnams,3583,4
10,Atomic Cafe,Beniamino Cudiff,7381,4
11,History of Kim Skov (Historien om Kim Skov),Sapphira McCurlye,2583,3
12,Bad Guy (Nabbeun namja),Kamila Campana,5997,4
13,There's a Girl in My Soup,Ariela Agass,6512,1
14,Command Performance,Ode Willoughby,5411,1
15,Brute Force,Geordie Fynn,7895,5
16,Summer of Fear,Arnoldo Flippelli,1933,6
17,Package,Ardath Oventon,8873,5
18,Evening with Kevin Smith,Billy Knoton,6262,4
19,Shaolin Xin shao lin si,Betta Jacke,972,2
20,Chinese Puzzle,Christi Trappe,2133,5
21,Soul of Bread,Jeremie Wreight,4268,1
22,Hijacking Catastrophe,Kendrick Mylchreest,8301,2
23,Viva Riva,Alexei Wayt,5816,1
24,Zatoichi and the Doomed Man,Patty Larman,9207,6
25,Phantom Carriage,Fanny Robel,6118,3
26,Dragonfly,Una Cranstoun,9551,4
27,Early Spring,Guillemette Yeell,7222,1
28,Days of Thunder,Mohandas Bewshea,1185,5
29,Twice-Told Tales,Lucio Linnemann,5320,5
30,Palestine Is Still the Issue,Sari Vandrill,7288,6
